id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
BRA_ERCE06-132006,"Total, matemática",BRA_ERCE06-13,(S)ERCE 2006,2006,.9801526069641113,1,1,1,"Total, matemática",1,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares baja calificación, matemática",BRA_ERCE06-13,(S)ERCE 2006,2006,.9740018844604492,2,2,2,"Calificación, matemática",2,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares media calificación, matemática",BRA_ERCE06-13,(S)ERCE 2006,2006,1.011362910270691,3,3,3,"Calificación, matemática",2,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares alta calificación, matemática",BRA_ERCE06-13,(S)ERCE 2006,2006,.9924454092979431,4,4,4,"Calificación, matemática",2,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Total, lectura",BRA_ERCE06-13,(S)ERCE 2006,2006,1.030597686767578,5,5,5,"Total, lectura",3,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares baja calificación, lectura",BRA_ERCE06-13,(S)ERCE 2006,2006,1.030547618865967,6,6,6,"Calificación, lectura",4,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares media calificación, lectura",BRA_ERCE06-13,(S)ERCE 2006,2006,1.055422186851501,7,7,7,"Calificación, lectura",4,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132006,"Hogares alta calificación, lectura",BRA_ERCE06-13,(S)ERCE 2006,2006,1.032095789909363,8,8,8,"Calificación, lectura",4,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132013,"Total, matemática",BRA_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,.9805656671524048,1,1,1,"Total, matemática",1,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132013,"Hogares baja calificación, matemática",BRA_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,.9758100509643555,2,2,2,"Calificación, matemática",2,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA_ERCE06-132013,"Hogares media calificación, matemática",BRA_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,.9852244257926941,3,3,3,"Calificación, matemática",2,Brasil,Brasil (ERCE06-13),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
