id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
COL2013,"Total, matemática",COL,(T)ERCE,2013,1.00372326374054,1,1,1,"Total, matemática",1,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares baja calificación, matemática",COL,(T)ERCE,2013,1.018051385879517,2,2,2,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares media calificación, matemática",COL,(T)ERCE,2013,.9903861284255981,3,3,3,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares alta calificación, matemática",COL,(T)ERCE,2013,.9927951693534851,4,4,4,"Calificación, matemática",2,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Total, lectura",COL,(T)ERCE,2013,1.026410222053528,5,5,5,"Total, lectura",3,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares baja calificación, lectura",COL,(T)ERCE,2013,1.02392590045929,6,6,6,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares media calificación, lectura",COL,(T)ERCE,2013,1.021955132484436,7,7,7,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2013,"Hogares alta calificación, lectura",COL,(T)ERCE,2013,1.00216019153595,8,8,8,"Calificación, lectura",4,Colombia,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2006,"Total, matemática",CRI,(S)ERCE,2006,.9801488518714905,1,1,1,"Total, matemática",1,Costa Rica,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2006,"Hogares baja calificación, matemática",CRI,(S)ERCE,2006,.9794813990592957,2,2,2,"Calificación, matemática",2,Costa Rica,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
